ip_address,email_address,billing_state,user_agent,billing_postal,phone_number,EVENT_TIMESTAMP,billing_address
107.77.37.4,fake_lloydsusan@example.net,AL,"Mozilla/5.0 (Linux; Android 5.0.2) AppleWebKit/534.1 (KHTML, like Gecko) Chrome/37.0.872.0 Safari/534.1",33596,(555)463 - 8377,07/12/2019 20:13,223 White Ridges Fake St.
101.78.173.79,fake_hartmansean@example.com,PA,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/3.1),32743,(555)993 - 2649,28/07/2019 05:58,195 Moran Plaza Fake St.
156.54.232.229,fake_jennifer25@example.net,FL,Opera/9.79.(X11; Linux i686; eo-US) Presto/2.9.160 Version/12.00,32585,(555)110 - 3706,22/06/2020 08:03,2263 Kevin Burg Fake St.
95.102.114.66,fake_morgan62@example.net,GA,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/55.0.881.0 Safari/536.2",34459,(555)168 - 6661,14/12/2019 23:02,3062 Jason Hill Fake St.
89.218.45.225,fake_william63@example.org,WA,Opera/9.45.(X11; Linux x86_64; ti-ER) Presto/2.9.164 Version/10.00,34002,(555)423 - 8753,03/10/2019 05:14,255 Christopher Neck Fake St.
214.99.173.154,fake_katherinereynolds@example.org,NY,Opera/8.59.(Windows NT 6.2; ar-BH) Presto/2.9.168 Version/10.00,34298,(555)820 - 6196,05/11/2019 02:20,891 Palmer Park Fake St.
170.214.24.129,fake_jeffreyweeks@example.org,WI,Opera/8.84.(X11; Linux x86_64; bn-BD) Presto/2.9.164 Version/11.00,34676,(555)325 - 1831,22/10/2019 07:40,019 Sheppard Pine Fake St.
5.132.19.25,fake_jimenezjohn@example.net,LA,Mozilla/5.0 (Windows NT 5.0; yue-HK; rv:1.9.2.20) Gecko/2013-12-16 15:49:54 Firefox/3.8,34434,(555)482 - 3681,16/12/2019 19:30,7293 Jennifer Pine Fake St.
104.47.73.56,fake_charles64@example.org,LA,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/534.24.6 (KHTML, like Gecko) Version/4.0 Safari/534.24.6",32722,(555)975 - 9555,12/02/2020 08:54,2331 Rogers Path Fake St.
64.138.103.232,fake_karen31@example.com,FL,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; ss-ZA) AppleWebKit/535.23.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B111 Safari/6535.23.3",33842,(555)978 - 5690,29/08/2019 22:34,38220 Sonya Road Fake St.
40.215.172.155,fake_carolyn15@example.com,TX,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_7; rv:1.9.2.20) Gecko/2016-02-19 05:28:53 Firefox/3.8,34831,(555)256 - 3696,01/05/2020 22:53,894 Matthew Courts Fake St.
148.227.26.250,fake_mistyhernandez@example.com,PA,Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_5; rv:1.9.6.20) Gecko/2014-12-11 16:37:06 Firefox/3.8,34638,(555)183 - 8675,22/01/2020 02:08,4099 Nelson Cliffs Fake St.
137.132.82.189,fake_aguirrelisa@example.org,IA,Opera/9.91.(Windows 95; ga-IE) Presto/2.9.182 Version/12.00,32050,(555)857 - 6231,10/12/2019 07:02,161 Haynes Underpass Fake St.
105.16.230.22,fake_uphillips@example.com,AZ,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/20.0.849.0 Safari/532.2",32114,(555)361 - 2556,24/10/2019 05:18,8099 Melissa Union Fake St.
129.244.9.78,fake_jacquelinebarry@example.net,NV,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2019-09-18 13:57:38 Firefox/3.8,32742,(555)638 - 8989,03/04/2020 02:08,143 Pena Port Fake St.
120.78.107.178,fake_sandragillespie@example.net,TN,Opera/8.13.(X11; Linux x86_64; ga-IE) Presto/2.9.177 Version/12.00,34290,(555)227 - 3071,01/05/2020 03:09,85112 Brown Flat Fake St.
28.229.27.121,fake_jramirez@example.net,LA,Opera/8.86.(X11; Linux i686; ms-MY) Presto/2.9.183 Version/10.00,32148,(555)236 - 9007,03/09/2019 21:40,49649 Kenneth Lock Fake St.
112.46.11.94,fake_ashley99@example.org,FL,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Win 9x 4.90; Trident/3.0),32875,(555)266 - 7590,06/11/2019 05:21,658 Patrick Lodge Fake St.
16.171.176.114,fake_kingmario@example.net,WI,Opera/9.38.(X11; Linux x86_64; ak-GH) Presto/2.9.179 Version/12.00,34297,(555)420 - 8388,09/08/2019 02:33,996 Terri Groves Fake St.
36.72.99.64,fake_bakermichael@example.net,NJ,"Mozilla/5.0 (iPad; CPU iPad OS 6_1_6 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) FxiOS/18.4j7188.0 Mobile/18Z383 Safari/533.1",32067,(555)375 - 8259,07/02/2020 07:16,855 Julia Forks Fake St.
35.238.84.38,fake_devinkennedy@example.com,MO,Opera/9.59.(Windows NT 5.0; sc-IT) Presto/2.9.186 Version/10.00,34449,(555)475 - 7572,27/10/2019 03:39,1386 Robertson Valley Fake St.
39.130.159.117,fake_julie74@example.com,OR,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; fo-FO) AppleWebKit/532.5.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6532.5.1",32424,(555)408 - 1469,23/08/2019 13:54,22119 Lee Track Fake St.
219.9.65.13,fake_erik35@example.com,MO,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_7) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/42.0.849.0 Safari/532.0",32159,(555)906 - 8734,09/06/2020 08:17,5021 Baker Falls Fake St.
132.247.221.90,fake_qpowell@example.net,WA,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/534.46.4 (KHTML, like Gecko) Version/5.0 Safari/534.46.4",33053,(555)836 - 8051,06/01/2020 21:19,0827 Thompson Bypass Fake St.
204.61.200.228,fake_thompsonkelly@example.com,MI,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_4 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) CriOS/42.0.888.0 Mobile/32U515 Safari/534.1",33590,(555)949 - 8841,30/07/2019 15:58,465 Smith Lights Fake St.
147.251.98.131,fake_thompsonchristopher@example.net,MO,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/13.0.827.0 Safari/535.0",32624,(555)609 - 8344,15/10/2019 02:54,4795 Samuel Burgs Fake St.
114.215.122.7,fake_andrea92@example.com,WI,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_7) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/32.0.808.0 Safari/533.0",32541,(555)386 - 5377,10/04/2020 23:50,477 Melissa Row Fake St.
95.182.61.171,fake_howardkaren@example.com,FL,Opera/9.69.(X11; Linux x86_64; mag-IN) Presto/2.9.173 Version/11.00,34216,(555)506 - 4563,31/12/2019 07:47,1570 Nathan Road Fake St.
161.200.127.44,fake_williamsmichael@example.org,PA,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; mg-MG) AppleWebKit/533.15.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6533.15.7",34664,(555)154 - 8731,18/09/2019 03:36,5155 Michael Circle Fake St.
134.207.183.101,fake_christophergardner@example.net,IA,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_6_8; rv:1.9.3.20) Gecko/2019-01-17 13:53:54 Firefox/13.0,33980,(555)745 - 8946,30/04/2020 22:16,301 Reyes Shores Fake St.
109.219.117.182,fake_sabrina50@example.org,MI,Opera/8.71.(Windows NT 6.1; iw-IL) Presto/2.9.177 Version/11.00,33699,(555)962 - 8823,03/12/2019 16:35,24234 Stacey Gateway Fake St.
218.208.175.56,fake_thomaskelly@example.net,TN,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/32.0.881.0 Safari/535.1",32186,(555)119 - 7258,08/07/2020 11:25,54452 Brent Court Fake St.
103.150.106.12,fake_ibarnes@example.com,NY,Opera/8.75.(Windows CE; gez-ET) Presto/2.9.185 Version/11.00,34656,(555)308 - 8233,30/11/2019 21:20,45053 Allen Manors Fake St.
217.112.18.115,fake_bbarnett@example.net,WI,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_1; rv:1.9.6.20) Gecko/2014-12-02 13:35:10 Firefox/5.0,34700,(555)636 - 3039,21/10/2019 06:32,12246 Cochran Fields Fake St.
89.141.149.142,fake_darius62@example.org,OR,Mozilla/5.0 (Android 4.2.2; Mobile; rv:37.0) Gecko/37.0 Firefox/37.0,33694,(555)608 - 2332,31/03/2020 15:43,2678 Wilson Circle Fake St.
217.106.48.3,fake_bentleylisa@example.org,PA,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/53.0.834.0 Safari/535.1",32027,(555)155 - 6972,12/09/2019 05:12,8621 Richards Drives Fake St.
27.118.72.128,fake_hernandezkathleen@example.com,MO,"Mozilla/5.0 (Linux; Android 2.2.1) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/58.0.831.0 Safari/531.2",32148,(555)632 - 9133,23/06/2020 10:15,4039 Riley Grove Fake St.
41.84.2.159,fake_bartondeborah@example.com,MO,Opera/8.84.(X11; Linux x86_64; sv-SE) Presto/2.9.162 Version/10.00,33605,(555)325 - 4869,05/06/2020 03:17,9044 Williams Lights Fake St.
161.158.199.119,fake_virginia71@example.org,TX,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Trident/5.0),34362,(555)850 - 8153,12/07/2020 05:38,559 Griffin Circle Fake St.
187.112.148.228,fake_owenstimothy@example.com,ME,Mozilla/5.0 (Windows NT 6.0; doi-IN; rv:1.9.2.20) Gecko/2019-10-19 13:42:30 Firefox/6.0,32460,(555)190 - 4023,09/02/2020 15:59,7950 Christopher Mountain Fake St.
176.17.27.249,fake_phillipscharles@example.net,TX,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_9; rv:1.9.5.20) Gecko/2014-04-26 00:14:33 Firefox/4.0,33108,(555)117 - 5382,09/12/2019 02:42,4634 Samantha Walk Fake St.
173.172.109.105,fake_corylong@example.com,ME,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; gv-GB) AppleWebKit/534.37.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B117 Safari/6534.37.3",33169,(555)767 - 9588,02/07/2020 01:56,0440 William Fields Fake St.
93.2.104.157,fake_paul42@example.org,CO,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/536.1 (KHTML, like Gecko) CriOS/16.0.864.0 Mobile/77S758 Safari/536.1",32094,(555)382 - 1996,16/03/2020 03:25,2826 Michelle Tunnel Fake St.
150.70.116.47,fake_tiffany10@example.net,NV,"Mozilla/5.0 (iPad; CPU iPad OS 4_2_1 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) FxiOS/11.9m7141.0 Mobile/02L401 Safari/532.2",34414,(555)127 - 6015,09/05/2020 16:23,971 Jeremiah Lock Fake St.
178.189.4.113,fake_ivanphillips@example.org,OR,Opera/9.30.(Windows CE; hak-TW) Presto/2.9.174 Version/10.00,32405,(555)657 - 4913,07/10/2019 19:39,0223 Justin Lane Fake St.
10.73.223.31,fake_jennifer14@example.org,NC,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; mhr-RU) AppleWebKit/533.38.7 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6533.38.7",32832,(555)829 - 4150,20/07/2019 20:18,5347 Kathleen Extensions Fake St.
148.227.26.250,fake_linstephanie@example.com,TX,Opera/9.44.(Windows NT 5.1; de-LU) Presto/2.9.190 Version/12.00,33539,(555)573 - 4055,30/10/2019 07:46,8424 Waller Haven Fake St.
40.236.92.171,fake_cmueller@example.net,WI,Mozilla/5.0 (Windows NT 5.2; vi-VN; rv:1.9.1.20) Gecko/2011-03-26 12:51:42 Firefox/9.0,32628,(555)881 - 4115,09/11/2019 10:38,9679 Yang Island Fake St.
112.63.23.174,fake_cristiandaniel@example.org,PA,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/532.33.3 (KHTML, like Gecko) Version/4.0.2 Safari/532.33.3",34989,(555)685 - 9556,13/03/2020 10:57,6602 Rebecca Radial Fake St.
130.75.249.181,fake_zmonroe@example.net,NM,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; byn-ER) AppleWebKit/533.7.5 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6533.7.5",32555,(555)868 - 9708,19/01/2020 06:58,5612 Bryan Course Fake St.
129.36.9.180,fake_josephchavez@example.com,MI,"Mozilla/5.0 (iPad; CPU iPad OS 7_1_2 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) CriOS/40.0.832.0 Mobile/75R936 Safari/534.1",34277,(555)777 - 6698,11/02/2020 10:37,4513 Shaw Lake Fake St.
218.250.248.217,fake_francisfrench@example.com,MO,Mozilla/5.0 (Android 2.3.4; Mobile; rv:64.0) Gecko/64.0 Firefox/64.0,32183,(555)847 - 4081,21/04/2020 16:45,5051 Stewart Ramp Fake St.
206.13.81.107,fake_kellyrussell@example.net,PA,Opera/8.28.(Windows NT 5.1; ff-SN) Presto/2.9.188 Version/11.00,32743,(555)389 - 3729,13/07/2020 11:54,182 Michael Wall Fake St.
118.217.179.62,fake_laurathomas@example.net,SC,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_6 like Mac OS X) AppleWebKit/533.0 (KHTML, like Gecko) CriOS/52.0.829.0 Mobile/24Y360 Safari/533.0",32743,(555)752 - 4726,23/05/2020 07:34,8765 Justin Center Fake St.
193.46.201.189,fake_margaret75@example.org,AZ,Mozilla/5.0 (Windows NT 5.1; aa-DJ; rv:1.9.1.20) Gecko/2011-08-08 09:04:13 Firefox/3.6.14,34744,(555)263 - 3993,14/06/2020 03:50,28447 Nash Common Fake St.
112.124.171.243,fake_zbrown@example.com,WY,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.6.20) Gecko/2010-05-25 03:10:25 Firefox/3.8,34936,(555)644 - 7091,19/06/2020 15:25,5090 John Plaza Fake St.
40.210.71.46,fake_laurie41@example.net,TX,"Mozilla/5.0 (Linux; Android 2.3.5) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/51.0.817.0 Safari/531.0",34949,(555)901 - 1320,29/04/2020 00:54,2952 Smith Crossing Fake St.
95.128.233.126,fake_travis78@example.org,NC,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2019-06-02 13:00:33 Firefox/3.6.15,33729,(555)817 - 1433,01/05/2020 15:58,730 Lane Meadow Fake St.
122.255.58.187,fake_christophergardner@example.net,TN,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/3.0),33476,(555)441 - 2582,22/09/2019 12:23,55099 Brian Prairie Fake St.
51.172.20.74,fake_amberhayes@example.org,PA,Mozilla/5.0 (Windows NT 6.1; tt-RU; rv:1.9.1.20) Gecko/2014-06-02 15:45:11 Firefox/3.8,34059,(555)203 - 3494,18/01/2020 20:43,68476 John Unions Fake St.
219.50.24.178,fake_troy27@example.org,WI,Mozilla/5.0 (Windows NT 6.1; bg-BG; rv:1.9.1.20) Gecko/2019-05-21 15:52:22 Firefox/3.6.1,34969,(555)308 - 2261,05/04/2020 22:07,887 Tucker Mall Fake St.
56.216.157.38,fake_qlopez@example.net,TN,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/19.0.813.0 Safari/534.0",33596,(555)963 - 4463,21/12/2019 20:09,787 Beasley Fork Fake St.
47.253.228.62,fake_cgreen@example.com,WI,Opera/8.81.(X11; Linux i686; gez-ER) Presto/2.9.171 Version/12.00,32682,(555)776 - 2511,06/02/2020 14:59,1608 Stephanie Trace Fake St.
182.11.173.206,fake_lsanders@example.org,NC,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_0) AppleWebKit/533.1 (KHTML, like Gecko) Chrome/54.0.823.0 Safari/533.1",33487,(555)932 - 8614,18/07/2019 14:40,7934 Yates Bridge Fake St.
172.23.85.20,fake_dbradshaw@example.com,PA,"Mozilla/5.0 (Windows; U; Windows NT 5.2) AppleWebKit/535.32.1 (KHTML, like Gecko) Version/4.0 Safari/535.32.1",34657,(555)630 - 2688,15/02/2020 08:53,279 Scott Trafficway Fake St.
16.171.176.114,fake_rebeccawillis@example.org,NC,Mozilla/5.0 (Android 4.1.2; Mobile; rv:52.0) Gecko/52.0 Firefox/52.0,33124,(555)856 - 4152,30/06/2020 13:53,0775 David Landing Fake St.
193.133.254.251,fake_lelinda@example.net,NC,Opera/9.49.(X11; Linux i686; ss-ZA) Presto/2.9.168 Version/10.00,32155,(555)626 - 2606,17/10/2019 21:51,33811 Ethan Ports Fake St.
152.66.12.28,fake_raymondrobertson@example.com,OR,Opera/8.87.(Windows NT 6.2; sk-SK) Presto/2.9.162 Version/10.00,33119,(555)744 - 7056,22/12/2019 21:08,43321 Davis Orchard Fake St.
134.14.213.18,fake_usmith@example.net,WI,"Mozilla/5.0 (iPad; CPU iPad OS 6_1_6 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) FxiOS/12.6b5498.0 Mobile/94I605 Safari/536.2",33008,(555)428 - 4382,30/03/2020 20:40,0196 Pamela Canyon Fake St.
113.111.204.200,fake_william56@example.org,PA,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_4 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) FxiOS/10.5z4503.0 Mobile/12T695 Safari/536.2",34463,(555)351 - 1627,19/12/2019 23:11,2955 Hamilton Extension Fake St.
134.233.233.56,fake_gonzalezbrian@example.net,WI,Opera/9.97.(Windows NT 5.0; lt-LT) Presto/2.9.166 Version/10.00,34069,(555)601 - 4352,20/12/2019 10:55,181 Martin Forge Fake St.
96.129.114.188,fake_vwilliams@example.org,NC,"Mozilla/5.0 (Windows; U; Windows NT 4.0) AppleWebKit/534.49.2 (KHTML, like Gecko) Version/5.0.5 Safari/534.49.2",33937,(555)899 - 6925,07/11/2019 07:58,250 Holly Mall Fake St.
39.73.196.11,fake_dcarr@example.org,GA,Mozilla/5.0 (Android 5.1.1; Mobile; rv:38.0) Gecko/38.0 Firefox/38.0,34745,(555)161 - 4998,13/02/2020 05:52,6414 Sullivan Corner Fake St.
24.206.27.137,fake_richardpeterson@example.org,LA,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/534.15.7 (KHTML, like Gecko) Version/4.0.5 Safari/534.15.7",33605,(555)709 - 8155,07/04/2020 00:01,40748 Sandoval Green Fake St.
182.227.71.19,fake_redwards@example.com,TX,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2017-02-21 08:58:03 Firefox/11.0,32004,(555)304 - 9357,06/06/2020 18:40,956 Meyer Stravenue Fake St.
96.143.76.4,fake_robertatkinson@example.net,TX,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; sd-PK) AppleWebKit/533.24.6 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6533.24.6",34530,(555)167 - 6610,17/02/2020 23:21,1556 Kramer Via Fake St.
75.156.194.69,fake_cindysampson@example.com,OR,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6 rv:3.0; ks-IN) AppleWebKit/533.18.6 (KHTML, like Gecko) Version/4.1 Safari/533.18.6",32747,(555)774 - 1381,08/08/2019 05:25,402 Monique Inlet Fake St.
185.166.175.185,fake_debra85@example.com,MI,Opera/9.22.(X11; Linux x86_64; hu-HU) Presto/2.9.173 Version/12.00,33734,(555)174 - 7867,24/09/2019 06:16,542 Nancy Forges Fake St.
200.187.48.146,fake_leeklein@example.org,NC,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; csb-PL) AppleWebKit/531.28.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B111 Safari/6531.28.3",34510,(555)800 - 7763,30/11/2019 06:39,77381 Martha Manor Fake St.
22.246.172.103,fake_lewischristian@example.com,MO,Opera/9.22.(Windows NT 6.0; bem-ZM) Presto/2.9.171 Version/12.00,34809,(555)435 - 3943,27/07/2019 10:19,562 Jacob Shoals Fake St.
171.126.136.152,fake_leebenjamin@example.org,MO,Mozilla/5.0 (Android 3.2.4; Mobile; rv:5.0) Gecko/5.0 Firefox/5.0,33003,(555)367 - 7673,14/03/2020 12:17,581 Cory Harbor Fake St.
180.21.132.74,fake_tbryant@example.org,WI,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_6) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/61.0.838.0 Safari/531.1",32755,(555)927 - 7577,25/12/2019 14:36,722 John Locks Fake St.
180.191.99.25,fake_michaelalexander@example.com,TX,Mozilla/5.0 (compatible; MSIE 6.0; Windows 95; Trident/5.0),32713,(555)337 - 9050,14/01/2020 06:00,4638 Martin Lodge Fake St.
108.10.149.234,fake_vfreeman@example.com,SC,Mozilla/5.0 (Android 2.3.3; Mobile; rv:10.0) Gecko/10.0 Firefox/10.0,34482,(555)348 - 6455,27/06/2020 23:27,706 Summer Brook Fake St.
